施設種別,地区,保育園名,所在地,緯度,経度,種別,開設年,開設月,電話番号,WebサイトURL,入園可能月齢,短時間保育開始時間,短時間保育終了時間,標準時間開始時間,標準時間終了時間,延長保育対象月齢,延長保育,休園日
港区保育室,麻布,南麻布三丁目保育室,東京都港区南麻布三丁目5番15号,35.651044,139.730423,委託,,,03-3443-5711,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/ichiran/k-zante.html,,9:00,17:00,7:15,18:15,2歳,20:15まで,日・祝・年末年始
港区保育室,赤坂,青南保育室,東京都港区南青山四丁目19番18号,35.66396,139.716584,委託,,,03-5770-3933,https://associe-international.co.jp/%E6%96%BD%E8%A8%AD%E7%B4%B9%E4%BB%8B/seinan/,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
港区保育室,赤坂,第二青南保育室,東京都港区南青山四丁目19番5号,35.664202,139.716788,委託,,,03-5770-5366,https://associe-international.co.jp/%E6%96%BD%E8%A8%AD%E7%B4%B9%E4%BB%8B/seinan2/,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
港区保育室,高輪,桂坂保育室,東京都港区高輪三丁目19番36号,35.633431,139.737205,委託,,,03-5475-6646,https://www.nihonhoiku.co.jp/blog/katsurazaka/,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
港区保育室,高輪,志田町保育室,東京都港区白金一丁目11番16号,35.645795,139.73367,委託,,,03-6277-2582,https://hoiku.lifesupport.co.jp/hoikushitsu-shidamachi/,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
港区保育室,高輪,白金三丁目保育室,東京都港区白金三丁目7番13号,35.645956,139.729598,委託,,,03-6455-7171,https://associe-international.co.jp/%E6%96%BD%E8%A8%AD%E7%B4%B9%E4%BB%8B/%E6%B8%AF%E5%8C%BA%E7%99%BD%E9%87%91%E4%B8%89%E4%B8%81%E7%9B%AE%E4%BF%9D%E8%82%B2%E5%AE%A4/,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
港区保育室,高輪,三光保育室,東京都港区白金三丁目18番2号（旧三光小学校内）,35.644437,139.729253,委託,,,03-5860-2116,https://associe-international.co.jp/%E6%96%BD%E8%A8%AD%E7%B4%B9%E4%BB%8B/%E6%B8%AF%E5%8C%BA%E4%B8%89%E5%85%89%E4%BF%9D%E8%82%B2%E5%AE%A4/,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
港区保育室,芝浦港南,たまち保育室,東京都港区芝浦三丁目4番1号　グランパークプラザ棟2階,35.643735,139.745528,委託,,,03-5484-6088,https://www.city.minato.tokyo.jp/shisetsu/gakkokyoiku/hoikuen/21.html,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
港区保育室,芝浦港南,芝浦橋保育室,東京都港区芝浦四丁目6番8号　田町ファーストビル2階,35.638959,139.74483,委託,,,03-6865-1004,https://www.pasonafoster.co.jp/service/facility/shibaurabashi.html,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
港区保育室,芝浦港南,港南四丁目保育室,東京都港区港南四丁目2番4号　都営住宅 1階,35.630213,139.747604,委託,,,03-5796-8863,https://hoiku.lifesupport.co.jp/hoikushitsu-kounan4/,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
港区保育室,芝浦港南,五色橋保育室,東京都港区海岸三丁目5番13号,35.63654,139.751594,委託,,,03-6435-3201,https://hoiku.lifesupport.co.jp/hoikushitsu-goshikibashi/,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
居宅訪問型保育事業,,障害児訪問保育アニー,利用者自宅,,,委託,,,,https://annie-hoiku.jp/,おおむね1歳～5歳,8:00～18:00のうち最長8時間,8:00～18:00のうち最長8時間,8:00～18:00のうち最長8時間,8:00～18:00のうち最長8時間,,,土・日・祝・年末年始
居宅訪問型保育事業,,ポピンズナニーサービス（待機児童向け居宅訪問型保育事業）,利用者自宅,,,委託,,,,https://www.poppins.co.jp/child/,57日～2歳,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始
居宅訪問型保育事業,,アルファ・ナニー（待機児童向け居宅訪問型保育事業）,利用者自宅,,,委託,,,,https://www.alpha-co.com/sitter,57日～2歳,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始
,,,,,,,,,,,,,,,,,,
港区内認可保育園等一覧,Ver202104,,,,,,,,,,,,,,,,,
